"scientificName" "plot_id" "year" "occurrenceStatus" "decimalLatitude" "decimalLongitude"
"Polytrichum" 27 1998 "PRESENT" 57.116344 -3.829717
"Lichenes" 27 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 28 1998 "PRESENT" 57.116344 -3.829717
"Carex binervis" 28 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 28 1998 "PRESENT" 57.116344 -3.829717
"Molinia caerulea" 28 1998 "PRESENT" 57.116344 -3.829717
"Potentilla erecta" 28 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 28 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 28 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 28 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum capillifolium" 28 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 28 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 28 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 29 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 29 1998 "PRESENT" 57.116344 -3.829717
"Eriophorum angustifolium" 29 1998 "PRESENT" 57.116344 -3.829717
"Juncus squarrosus" 29 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 29 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 29 1998 "PRESENT" 57.116344 -3.829717
"Dicranum scoparium" 29 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 29 1998 "PRESENT" 57.116344 -3.829717
"Racomitrium lanuginosum" 29 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 29 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum capillifolium" 29 1998 "PRESENT" 57.116344 -3.829717
"Leptoscyphus cuneifolius" 29 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 29 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 29 1998 "PRESENT" 57.116344 -3.829717
"Pinus sylvestris" 29 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 30 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 30 1998 "PRESENT" 57.116344 -3.829717
"Eriophorum angustifolium" 30 1998 "PRESENT" 57.116344 -3.829717
"Eriophorum vaginatum" 30 1998 "PRESENT" 57.116344 -3.829717
"Narthecium ossifragum" 30 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 30 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 30 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 30 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum capillifolium" 30 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 30 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 30 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 30 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 31 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 31 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 31 1998 "PRESENT" 57.116344 -3.829717
"Eriophorum vaginatum" 31 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 31 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 31 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 31 1998 "PRESENT" 57.116344 -3.829717
