Field name	Latin name	BRC concept	Name in BRC database
4311	Quercus cerris (s)	Vas_1635	Quercus cerris
1077	Quercus petraea (c)	Vas_1638	Quercus petraea
2626	Quercus petraea (g)	Vas_1638	Quercus petraea
2625	Quercus petraea (s)	Vas_1638	Quercus petraea
1078	Quercus robur (c)	Vas_1640	Quercus robur
2628	Quercus robur (g)	Vas_1640	Quercus robur
2627	Quercus robur (s)	Vas_1640	Quercus robur
2939	Quercus seedling/sp	Vas_4446	Quercus
1926	Racomitrium aciculare	Bry_519	Racomitrium aciculare
2943	Racomitrium affine	Bry_1073	Racomitrium affine
1927	Racomitrium aquaticum	Bry_520	Racomitrium aquaticum
1928	Racomitrium canescens	Bry_521	Racomitrium canescens s.l.
6008	Racomitrium elongatum	Bry_1050	Racomitrium elongatum
1930	Racomitrium fasciculare	Bry_523	Racomitrium fasciculare
1931	Racomitrium heterostichum	Bry_524	Racomitrium heterostichum s.l.
1932	Racomitrium lanuginosum	Bry_525	Racomitrium lanuginosum
2942	Racomitrium sp	Bry_1226	Racomitrium
2525	Ramalina fastigiata	Fun_7993	Ramalina fastigiata
1081	Ranunculus acris	Vas_1642	Ranunculus acris
1083	Ranunculus arvensis	Vas_1644	Ranunculus arvensis
1086	Ranunculus bulbosus	Vas_1647	Ranunculus bulbosus
1088	Ranunculus ficaria	Vas_1649	Ranunculus ficaria
1089	Ranunculus flammula	Vas_1651	Ranunculus flammula
1094	Ranunculus parviflorus	Vas_1659	Ranunculus parviflorus
1095	Ranunculus repens	Vas_1660	Ranunculus repens
1096	Ranunculus reptans	Vas_1661	Ranunculus reptans
1097	Ranunculus sardous	Vas_1662	Ranunculus sardous
2735	Ranunculus seedling/sp	Vas_4555	Ranunculus
1105	Rhamnus cathartica	Vas_1675	Rhamnus cathartica
1106	Rhinanthus minor	Vas_1678	Rhinanthus minor
2944	Rhinanthus minor borealis	Vas_1676	Rhinanthus minor subsp. borealis
3217	Rhinanthus sp	Vas_5193	Rhinanthus
1800	Rhizomnium pseudopunctatum	Bry_388	Rhizomnium pseudopunctatum
1801	Rhizomnium punctatum	Bry_389	Rhizomnium punctatum
1934	Rhodobryum roseum	Bry_527	Rhodobryum roseum
2743	Rhododendron ponticum (c)	Vas_1687	Rhododendron ponticum
2946	Rhododendron ponticum (g)	Vas_1687	Rhododendron ponticum
1107	Rhododendron ponticum (s)	Vas_1687	Rhododendron ponticum
1109	Rhynchospora alba	Vas_1691	Rhynchospora alba
1674	Rhynchostegium confertum	Bry_245	Rhynchostegium confertum
1939	Rhytidiadelphus loreus	Bry_532	Rhytidiadelphus loreus
1940	Rhytidiadelphus squarrosus	Bry_533	Rhytidiadelphus squarrosus
1941	Rhytidiadelphus triquetrus	Bry_534	Rhytidiadelphus triquetrus
1942	Rhytidium rugosum	Bry_535	Rhytidium rugosum
1111	Ribes nigrum	Vas_1694	Ribes nigrum
3218	Ribes rubrum (g)	Vas_1696	Ribes rubrum
1113	Ribes sylvestre (s)	Vas_1696	Ribes rubrum
1114	Ribes uva-crispa	Vas_1697	Ribes uva-crispa
2257	Riccardia chamedryfolia	Bry_902	Riccardia chamedryfolia
2254	Riccardia multifida	Bry_899	Riccardia multifida
2947	Riccia sp	Bry_1335	Riccia
5448	Rinodina interpolata	Fun_9000	Rinodina interpolata
4287	Rorippa sp	Vas_4556	Rorippa
1121	Rosa arvensis	Vas_1707	Rosa arvensis
2754	Rosa canina (g)	Vas_1709	Rosa canina s.str.
1122	Rosa canina agg.	Vas_1708	Rosa canina agg.
2953	Rosa micrantha	Vas_1712	Rosa micrantha
2746	Rosa seedling/sp	Vas_1705	Rosa
1127	Rubus caesius	Vas_1726	Rubus caesius
1128	Rubus chamaemorus	Vas_1727	Rubus chamaemorus
2760	Rubus fruticosus agg (g)	Vas_1728	Rubus fruticosus agg.
1136	Rubus fruticosus agg.	Vas_1728	Rubus fruticosus agg.
1137	Rubus idaeus	Vas_1729	Rubus idaeus
2764	Rubus idaeus (g)	Vas_1729	Rubus idaeus
1138	Rubus saxatilis	Vas_1730	Rubus saxatilis
4393	Rubus sp	Vas_5203	Rubus
3968	Rubus spectabilis	Vas_1731	Rubus spectabilis
1139	Rumex acetosa	Vas_1734	Rumex acetosa
1140	Rumex acetosella	Vas_1735	Rumex acetosella
1142	Rumex conglomeratus	Vas_1741	Rumex conglomeratus
6015	Rumex conglomeratus/sanguineus	Vas_23637	Rumex conglomeratus/sanguineus
1143	Rumex crispus	Vas_1742	Rumex crispus
1147	Rumex obtusifolius	Vas_1748	Rumex obtusifolius
1148	Rumex sanguineus	Vas_1753	Rumex sanguineus
2717	Rumex seedling/sp	Vas_4557	Rumex
1151	Ruscus aculeatus	Vas_1760	Ruscus aculeatus
2271	Saccogyna viticulosa	Bry_918	Saccogyna viticulosa
1153	Sagina apetala apetala	Vas_1762	Sagina apetala subsp. apetala
1156	Sagina nodosa	Vas_1766	Sagina nodosa
1158	Sagina procumbens	Vas_1767	Sagina procumbens
4291	Sagina sp	Vas_5207	Sagina
1160	Sagina subulata	Vas_1769	Sagina subulata
2963	Salix atrocinerea x aurita (s)	Vas_2335	Salix aurita x cinerea (S. x multinervis)
4324	Salix aurita (g)	Vas_1787	Salix aurita
1167	Salix aurita (s)	Vas_1787	Salix aurita
2741	Salix caprea (c)	Vas_1788	Salix caprea
2631	Salix caprea (g)	Vas_1788	Salix caprea
1168	Salix caprea (s)	Vas_1788	Salix caprea
4305	Salix cinerea (c)	Vas_1789	Salix cinerea
2729	Salix cinerea (g)	Vas_1789	Salix cinerea
1169	Salix cinerea (s)	Vas_1789	Salix cinerea
2699	Salix cinerea ssp oleifolia (s)	Vas_1786	Salix cinerea subsp. oleifolia
2742	Salix cinerea ssp oleifolia(c)	Vas_1786	Salix cinerea subsp. oleifolia
1171	Salix herbacea	Vas_1794	Salix herbacea
1174	Salix myrsinites	Vas_1798	Salix myrsinites
3131	Salix purpurea (g)	Vas_1801	Salix purpurea
1179	Salix repens agg.	Vas_1802	Salix repens
2716	Salix seedling/sp	Vas_4558	Salix
1182	Salix viminalis (c)	Vas_1805	Salix viminalis
2967	Salix viminalis (s)	Vas_1805	Salix viminalis
4314	Sambucus nigra (c)	Vas_1815	Sambucus nigra
2633	Sambucus nigra (g)	Vas_1815	Sambucus nigra
1187	Sambucus nigra (s)	Vas_1815	Sambucus nigra
1053	Sanguisorba minor	Vas_5442	Sanguisorba minor
1190	Sanguisorba officinalis	Vas_1818	Sanguisorba officinalis
1191	Sanicula europaea	Vas_1819	Sanicula europaea
1192	Saponaria officinalis	Vas_1821	Saponaria officinalis
1197	Saxifraga granulata	Vas_1830	Saxifraga granulata
1198	Saxifraga hirculus	Vas_1832	Saxifraga hirculus
1199	Saxifraga hypnoides	Vas_1835	Saxifraga hypnoides
1201	Saxifraga oppositifolia	Vas_1837	Saxifraga oppositifolia
2724	Saxifraga spathularis	Vas_1840	Saxifraga spathularis
1203	Saxifraga stellaris	Vas_1842	Saxifraga stellaris
4003	Saxifraga x urbium	Vas_1841	Saxifraga spathularis x umbrosa (S. x urbium)
1205	Scabiosa columbaria	Vas_1846	Scabiosa columbaria
2279	Scapania degenii	Bry_926	Scapania degenii
2280	Scapania gracilis	Bry_927	Scapania gracilis
2282	Scapania irrigua	Bry_929	Scapania irrigua
2284	Scapania nemorosa	Bry_930	Scapania nemorea
2969	Scapania sp	Bry_1338	Scapania
2291	Scapania uliginosa	Bry_937	Scapania uliginosa
2293	Scapania undulata	Bry_939	Scapania undulata
1733	Schistidium strictum	Bry_315	Schistidium strictum
1209	Scirpus cernuus	Vas_1046	Isolepis cernua
1210	Scirpus cespitosus	Vas_1858	Trichophorum cespitosum
1214	Scirpus setaceus	Vas_1047	Isolepis setacea
1945	Scleropodium cespitans	Bry_538	Scleropodium cespitans
4396	Scleropodium sp	Bry_1237	Scleropodium
1220	Scrophularia nodosa	Vas_1867	Scrophularia nodosa
1224	Scutellaria minor	Vas_1874	Scutellaria minor
1225	Sedum acre	Vas_1875	Sedum acre
1227	Sedum anglicum	Vas_1877	Sedum anglicum
1234	Sedum villosum	Vas_1886	Sedum villosum
1235	Selaginella selaginoides	Vas_1888	Selaginella selaginoides
2033	Seligeria carniolica	Bry_629	Seligeria carniolica
1955	Seligeria recurvata	Bry_548	Seligeria recurvata
1237	Senecio erucifolius	Vas_1896	Senecio erucifolius
1239	Senecio jacobaea	Vas_1899	Senecio jacobaea
3314	Senecio sp.	Vas_4588	Senecio
1241	Senecio sylvaticus	Vas_1903	Senecio sylvaticus
1243	Senecio vulgaris	Vas_1905	Senecio vulgaris
3233	Sequoia sempervirens	Vas_2417	Sequoia sempervirens
1245	Sesleria albicans	Vas_1908	Sesleria caerulea
1247	Sherardia arvensis	Vas_1912	Sherardia arvensis
1252	Silene alba	Vas_1258	Silene latifolia
1253	Silene alba x dioica	Vas_1260	Silene dioica x latifolia (S. x hampeana)
1254	Silene dioica	Vas_1259	Silene dioica
4397	Silene sp	Vas_5248	Silene
1259	Silene vulgaris	Vas_4578	Silene vulgaris
1268	Solanum dulcamara (g)	Vas_1947	Solanum dulcamara
2974	Solanum dulcamara (s)	Vas_1947	Solanum dulcamara
3098	Solidago canadensis	Vas_2251	Solidago canadensis
1270	Solidago virgaurea	Vas_1951	Solidago virgaurea
2538	Solorina saccata	Fun_9049	Solorina saccata
1271	Sonchus arvensis	Vas_1952	Sonchus arvensis
1272	Sonchus asper	Vas_1953	Sonchus asper
1273	Sonchus oleraceus	Vas_1954	Sonchus oleraceus
3357	Sonchus sp.	Vas_4560	Sonchus
1274	Sorbus aria (c)	Vas_1958	Sorbus aria
1275	Sorbus aucuparia (c)	Vas_1960	Sorbus aucuparia
2634	Sorbus aucuparia (g)	Vas_1960	Sorbus aucuparia
2597	Sorbus aucuparia (s)	Vas_1960	Sorbus aucuparia
1283	Spergula arvensis	Vas_1987	Spergula arvensis
2540	Sphaerophorus fragilis	Fun_9052	Sphaerophorus fragilis
2541	Sphaerophorus globosus	Fun_9053	Sphaerophorus globosus
6026	Sphagnum auriculatum	Bry_578	Sphagnum denticulatum s.l.
2700	Sphagnum auriculatum var auriculatum	Bry_578.1	Sphagnum denticulatum
2972	Sphagnum auriculatum var inundatum	Bry_578.3	Sphagnum inundatum
1960	Sphagnum capillifolium	Bry_564	Sphagnum capillifolium
1961	Sphagnum compactum	Bry_554	Sphagnum compactum
